,시도별,date,최대풍속(m/s),평균기온(℃),평균강수량(mm),평균상대습도(%),사고건수,사망자수,부상자수,시도별인구수,자동차수,교통사고사망률,사고율
0,강원,2016-01-01,8.8,-3.10769,0.2315383333333333,52.84615,662,20,1101,1550800,722300,0.0302114803625377,42.68764508640702
1,강원,2016-02-01,8.06923,-0.42308,1.5571793333333337,56.84615,612,14,1075,1550800,722300,0.022875816993464,39.4635027082796
2,강원,2016-03-01,8.16154,5.81538,1.1179486666666667,56.38462,663,13,1037,1550800,722300,0.0196078431372549,42.75212793396956
3,강원,2016-04-01,9.80769,12.86154,2.787692333333333,57.30769,734,12,1221,1550800,722300,0.0163487738419618,47.3304101109105
4,강원,2016-05-01,10.0,17.65385,2.260256333333333,58.46154,754,14,1276,1550800,722300,0.0185676392572944,48.62006706216147
5,강원,2016-06-01,6.0,21.37692,1.6866666666666668,69.76923,707,23,1186,1550800,722300,0.0325318246110325,45.58937322672169
6,강원,2016-07-01,6.20769,23.60769,14.561795,81.46154,799,35,1405,1550800,722300,0.0438047559449311,51.52179520247614
7,강원,2016-08-01,8.12308,24.91538,4.465897333333333,76.46154,845,19,1476,1550800,722300,0.0224852071005917,54.48800619035337
8,강원,2016-09-01,7.13846,19.87692,2.813333333333333,80.76923,701,15,1165,1550800,722300,0.021398002853067,45.2024761413464
9,강원,2016-10-01,6.76429,13.98571,3.274762,75.92857,829,21,1380,1550800,722300,0.0253317249698431,53.45628062935259
10,강원,2016-11-01,6.77857,6.12143,0.7164286666666667,66.0,795,11,1271,1550800,722300,0.0138364779874213,51.26386381222595
11,강원,2016-12-01,7.95714,1.24286,2.28,65.42857,740,22,1266,1550800,722300,0.0297297297297297,47.71730719628579
12,강원,2017-01-01,7.90714,-2.02143,0.8630953333333333,58.35714,718,26,1237,1550100,746000,0.0362116991643454,46.31959228436875
13,강원,2017-02-01,7.82143,-0.05714,0.3685713333333333,54.35714,499,4,820,1550100,746000,0.0080160320641282,32.19147151796658
14,강원,2017-03-01,7.56429,4.95714,0.8769046666666667,56.14286,618,13,975,1550100,746000,0.0210355987055016,39.86839558738146
15,강원,2017-04-01,8.63571,13.12857,1.7680953333333334,53.0,677,14,1080,1550100,746000,0.0206794682422452,43.67460163860396
16,강원,2017-05-01,9.17143,18.11429,0.8416666666666667,55.85714,750,27,1208,1550100,746000,0.036,48.38397522740468
